IDENTITAS:,11111111,qwqeqe,L,SESI 1
TGL,RAS,GENDER,EKSPRESI,WARNA,RESPON AWAL,RESPON AKHIR,KET
 16/11/2014 07:12:03,C,M04,Happy,G,903.9998054504395,942.9998397827148,SALAH
 16/11/2014 07:12:03,I,M04,Angry,S,421.00000381469727,446.99978828430176,
 16/11/2014 07:12:04,C,M01,Angry,G,371.0000514984131,411.9999408721924,SALAH
 16/11/2014 07:12:05,I,F02,Neutral,G,384.99999046325684,411.9999408721924,SALAH
 16/11/2014 07:12:06,I,M04,Happy,S,430.9999942779541,457.0000171661377,
RERATA:,534.1999053955078
